num,word
613,짜증
614,찌개
615,차남
616,차량
617,차례
618,차림
619,차별
620,차선
621,차이
622,차창
623,착각
624,찬물
625,찬성
626,참가
627,참새
628,참석
629,참여
630,참외
631,참조
632,찻잔
633,창가
634,창고
635,창구
636,창문
637,창밖
638,창작
639,창조
640,채널
641,채소
642,채점
643,책방
644,책상
645,책임
646,처녀
647,처리
648,처벌
649,처음
650,처지
651,천국
652,천둥
653,천장
654,천재
655,철도
656,철학
657,첫날
658,청년
659,청소
660,청춘
661,체력
662,체온
663,체육
664,체조
665,체중
666,체험
667,초기
668,초대
669,초반
670,초밥
671,초보
672,초순
673,초원
674,초점
675,초청
676,촛불
677,총각
678,총리
679,총장
680,촬영
681,최고
682,최근
683,최대
684,최상
685,최선
686,최소
687,최신
688,최악
689,최저
690,최종
691,최초
692,최후
693,추가
694,추석
695,추억
696,추위
697,추진
698,추천
699,추측
700,축구
701,축소
702,축제
703,축하
704,출국
705,출근
706,출발
707,출신
708,출입
709,충격
710,충고
711,충돌
712,취미
713,취소
714,취업
715,취재
716,취직
717,취향
718,치과
719,치료
720,치마
721,치아
722,치약
723,치즈
724,친구
725,친절
726,친정
727,친척
728,칠월
729,칠판
730,침대
731,침묵
732,침실
733,칫솔
734,칭찬
735,카드
736,카레
737,카페
738,커튼
739,커피
740,컬러
741,케첩
742,코끝
743,코너
744,코드
745,코스
746,코치
747,코트
748,코피
749,콜라
750,쾌감
751,크기
752,크림
753,큰길
754,큰딸
755,큰일
756,큰절
757,클럽
758,키스
759,타락
760,타입
761,탁구
762,탁자
763,탄생
764,태도
765,태아
766,태양
767,태풍
768,택시
769,터널
770,테러
771,토끼
772,토대
773,토론
774,통계
775,통과
776,통로
777,통신
778,통역
779,통일
780,통장
781,통제
782,통증
783,통합
784,통화
785,퇴근
786,퇴원
787,투자
788,투표
789,튀김
790,트럭
791,특급
792,특별
793,특성
794,특수
795,특징
796,파도
797,파리
798,파일
799,파티
800,판결
801,판단
802,판매
803,판사
804,팔월
805,팝송
806,패션
807,팩스
808,팬티
809,편견
810,편의
811,편지
812,평가
813,평균
814,평생
815,평소
816,평양
817,평일
818,평화
819,폐지
820,포도
821,포장
822,포크
823,포함
824,폭력
825,표면
826,표시
827,표정
828,표준
829,표현
830,품목
831,품질
832,풍경
833,풍속
834,풍습
835,프로
836,피곤
837,피디
838,피망
839,피시
840,피자
841,피해
842,필름
843,필수
844,필요
845,필자
846,필통
847,핑계
848,하나
849,하늘
850,하루
851,하순
852,하얀
853,하천
854,하품
855,학과
856,학교
857,학급
858,학기
859,학년
860,학력
861,학번
862,학비
863,학생
864,학술
865,학습
866,학원
867,학위
868,학자
869,학점
870,한강
871,한계
872,한국
873,한글
874,한낮
875,한눈
876,한때
877,한문
878,한번
879,한복
880,한숨
881,한식
882,한자
883,한잔
884,한쪽
885,한참
886,한편
887,할인
888,합격
889,항공
890,항구
891,항의
892,해결
893,해군
894,해답
895,해당
896,해물
897,해석
898,해설
899,해소
900,해안
901,해외
902,핵심
903,햇볕
904,햇빛
905,햇살
906,행동
907,행복
908,행사
909,행운
910,행위
911,향기
912,향상
913,향수
914,허가
915,허락
916,허리
917,허용
918,헬기
919,현관
920,현금
921,현대
922,현상
923,현실
924,현장
925,현재
926,현지
927,혈액
928,협력
929,형님
930,형부
931,형사
932,형성
933,형수
934,형식
935,형태
936,혜택
937,호주
938,호텔
939,호흡
940,혼자
941,홍보
942,홍수
943,홍차
944,화가
945,화면
946,화분
947,화살
948,화장
949,화재
950,화제
951,화학
952,확보
953,확신
954,확인
955,확장
956,확정
957,환갑
958,환경
959,환영
960,환율
961,환자
962,활기
963,활동
964,활용
965,회견
966,회관
967,회복
968,회사
969,회색
970,회원
971,회의
972,회장
973,회전
974,회화
975,횟수
976,효과
977,효도
978,효자
979,후기
980,후반
981,후배
982,후보
983,후회
984,훈련
985,휴가
986,휴식
987,휴일
988,휴지
989,흉내
990,흐름
991,흑백
992,흑인
993,흔적
994,흥미
995,흥분
996,희곡
997,희망
998,희생
999,흰색
